门派,心法,奇穴位置,奇穴名,奇穴描述,技能ID,纵向位置
天策,傲血战意,1,封侯,“龙吟”会心几率提高10%，会心效果提高10%。,5656,1
天策,傲血战意,1,扬戈,“穿云”的会心几率提高10%，会心效果提高10%。,5657,2
天策,傲血战意,1,百折,“御”可以在基础调息时间中施展，施展后0.5秒内成功抵御伤害则使自身下一次招式伤害提高30%。,18487,3
天策,傲血战意,2,神勇,“龙牙”会心几率提高10%，会心效果提高10%。,5660,1
天策,傲血战意,2,挫锐,施展“龙吟”后，20秒内下一次施展“穿云”距离增加4尺并会造成3段<SUB 36097 28>外功伤害。,32911,2
天策,傲血战意,2,穿,“龙吟”对目标周围8尺内最多5个目标造成外功伤害且移动速度降低60%，持续12秒。,18224,3
天策,傲血战意,3,骁勇,“流血”效果伤害提高12%。,18602,1
天策,傲血战意,3,龙啸,“龙牙”命中目标后，对目标周围6尺的5个目标造成外功伤害。该伤害不受到“龙牙”秘籍的影响。,5658,2
天策,傲血战意,3,大漠,施展“灭”后，使下一个“龙吟”额外造成<SUB 37618 1>外功伤害。,5659,3
天策,傲血战意,3,徐如林,施展“突”“断魂刺”之后，自身将获得“徐如林”效果，使自身外功伤害招式命中敌人后，有50%的几率额外造成一段<SUB 38655 0>伤害并使自身气血与内力在1秒后恢复5%（每秒最多1次），持续5秒。,18228,4
天策,傲血战意,4,击水,“流血”效果可叠3层，持续效果增加3跳。对有自身三层流血的非侠士目标再次添加流血效果，会额外造成<SUB 36568 1>外功伤害。,18226,1
天策,傲血战意,4,飞将,对击倒状态的目标伤害提高35%。,5673,2
天策,傲血战意,4,龙驭,“任驰骋”调息时间降低6秒，“骑御”期间每次移动施展“羽林枪法”会额外消耗自身2%的气血值，并获得“龙驭”效果：本次“骑御”状态造成的伤害提高7%，最多叠加3层。,24896,3
天策,傲血战意,4,背水一战,施展“撼如雷”获得12秒“背水一战”效果。\n背水一战：效果持续期间每2秒对自身造成最大气血值2%的伤害，同时对自身6尺内2名敌对侠士目标额外造成<SUB 37350 1>外功伤害，持续12秒，若命中目标，则下次伤害增加10%，最多提高50%。,37338,4
天策,傲血战意,5,出云,“战八方”会心几率提高10%，会心效果提高10%，可以在马下施展。,5669,1
天策,傲血战意,5,临阵,冲刺至15尺内目标身边打断目标运功并造成100%武器伤害附带<SUB 32894 1>点外功伤害。在马上施展会用长枪挑飞目标，使目标2秒内无法施展轻功，成功挑飞目标则3秒内可额外施展1次无需运功的乘龙箭，成功击落目标则使目标倒地4秒并获得5秒“破军”效果。,32893,2
天策,傲血战意,5,驰骋,施展“任驰骋”获得的外功基础攻击力效果提高至30%，可以在“骑御”状态施展“灭”。,14824,3
天策,傲血战意,5,振弦,施展“突”、“沧月”、“破坚阵”成功击倒目标后，会延迟对目标位置发射一波半径6尺的箭雨，对最多5个目标造成<SUB 24894 0>外功伤害，视作“乘龙箭”效果。,30653,4
天策,傲血战意,6,坚城,“守如山”调息时间降低55秒，减伤效果变为50%，在“守如山”效果期间受到“定身”、“眩晕”、“击倒”控制效果缩短30%，马上施展则额外增加5秒持续时间。,5694,1
天策,傲血战意,6,牧云,“突”的调息时间增加37秒，施展后自身获得“牧云”效果，持续60秒，效果期间施展“龙牙”则叠加一层“牧云”效果，最多作用3次。,6511,2
天策,傲血战意,6,破军,“破坚阵”命中目标后，目标获得的“破军”持续时间提高至10秒，累计5次伤害则使目标获得8秒“重创”效果：受到的下一次治疗效果无效，最多叠加5层。,23997,3
天策,傲血战意,6,青阳,“灭”的施展距离提高到25尺，施展时解除自身锁足减速不利效果并冲向目标，命中后使目标眩晕2秒。命中有自身“流血”效果的目标，每层“流血”额外造成1段<SUB 32909 1>外功伤害。,6530,4
天策,傲血战意,7,守孤城,施展“御”后每秒回复2%的气血与内力，持续5秒。,6528,1
天策,傲血战意,7,风虎,每点“战意”增加“穿云”“龙吟”“龙牙”“灭”5%伤害。,5666,2
天策,傲血战意,7,千驰,“沧月”若在马上释放则每0.5秒造成一次击退效果，且对刀气障碍具有额外的伤害，持续3秒。释放期间具有“纵轻骑”效果。,18233,3
天策,傲血战意,7,霹雳,对目标及其附近额外的3个目标造成200%武器伤害并附加<SKILL PhysicsDamage>点(+<SKILLEx {D0} {SkillPhysicsAP}>)外功伤害，使目标<BUFF 2774 0 desc>，持续12秒，若玩家目标身上存在护盾，则基于自身最大生命值的40%击碎其护盾值，再造成外功伤害。<TALENT 2610 1 伤害提高2%><TALENT 2610 2 伤害提高4%><TALENT 2610 3 伤害提高6%>,2611,4
天策,傲血战意,8,关山月,力道、体质提高10%。,21285,1
天策,傲血战意,8,流电,“乘龙箭”命中有自身“破军”效果的目标，在目标位置生成一个半径6尺持续4秒的“飞鸣镝”区域，区域内最多5个敌对目标每秒会受到<SUB 32979 1>外功伤害。在区域内施展“撼如雷”则会引爆该区域对其中5个敌对目标造成<SUB 32980 1>外功伤害并使目标获得1层“重创”效果。,18557,2
天策,傲血战意,8,飞遁,“任驰骋”上马后移动速度提高50%，“纵轻骑”效果持续过程中将不受任何位移招式影响。,5676,3
天策,傲血战意,8,战心,“灭”附带流血和破风效果并使“流血”伤害提高20%，使自身立刻获得3点战意，并每秒回复3%内力和气血，持续3秒。,6781,4
天策,傲血战意,8,疾雨,“乘龙箭”每0.8秒朝目标区域发射箭雨，持续2.4秒。每波箭雨延迟0.8秒后对目标6尺范围最多5个目标造成<SUB 24894 0>外功伤害，每波箭雨范围内有3个及以上敌方目标会降低“乘龙箭”8秒调息时间。,24895,5
天策,傲血战意,9,破楼兰,“灭”对于气血值低于80%的目标造成100%的额外伤害，施展灭8秒内获得一次额外施展的机会，同时额外附带一段破招伤害。,6524,1
天策,傲血战意,9,长征,“突”变为2层充能，命中目标时获得1点“战意”。,6514,2
天策,傲血战意,9,挥金镝,蓄力射箭，期间自身免疫控制，最多蓄力3秒对最多8个目标造成最远30尺最多<SUB 32984 3>的外功伤害，使目标获得最少2秒最多6秒的“破军”效果。,32905,3
天策,傲血战意,9,渊,解除自身所有移动限制(击倒和被击僵直除外)，冲刺到友方目标身边，为其承受4次伤害，并使自身外功基础攻击力提高35%(<SKILLEx {D0} {BasicPhysicsAP 0.35}>点)，持续10秒。,2628,4
天策,傲血战意,9,铁骑,“任驰骋”调息时间降低至37秒且不再充能，“纵轻骑”效果持续时间增加6秒，“纵轻骑”效果下自身每造成三次外功伤害会延长一秒“纵轻骑”效果的时间，最多延长4次。,28442,5
天策,傲血战意,10,泾威,“疾如风”调息时间降低5秒，自身免疫控制效果提高至5秒。可额外透支使用一次。,22727,1
天策,傲血战意,10,激雷,施展“撼如雷”后小队成员的外功破防值提高20%，外功基础攻击力提高20%，持续6秒。,6806,2
天策,傲血战意,10,夜征,“激雷”效果持续期间自身无视目标70%外功防御，效果持续时间提高200%。,5678,3
天策,傲血战意,10,雷行,“沧月”击退距离提高，每击退1个目标，增加0.5秒“纵轻骑”效果时间，降低0.5秒“沧月”调息时间。,18231,4
天策,傲血战意,10,破国,“任驰骋”招式无需运功，且“纵轻骑”效果持续时间提高1秒，期间自身加速值突破上限，提高50%，施展“羽林枪法”招式额外附带一次100%的武器伤害效果。,24899,5
天策,傲血战意,11,牙璋,“流血”作用间隔缩短0.25秒，“战八方”调息时间增加6秒，命中目标附带“流血”“破风”效果。,14821,1
天策,傲血战意,11,易险,“乘龙箭”命中10尺外的目标时，重置自身“断魂刺”和“破坚阵”的招式调息时间，每次骑御状态下只可触发一次。,28564,2
天策,傲血战意,11,龙血,“龙牙”施展距离提高4尺，命中有自身“流血”效果的目标额外造成40%伤害。,15001,3
天策,傲血战意,11,薄伐,“破坚阵”可冲刺至15尺内目标身边对其释放，将目标周围8尺范围5个目标击倒并立即造成<SUB 14881 0>外功伤害。,14823,4
天策,傲血战意,11,戎行,"施展“任驰骋”后10秒内可以对右后方8尺以内倒地状态的目标施展二段招式，若目标为小队成员则解除目标倒地状态并尝试使其进入双骑状态,并给予目标最大气血值10%护盾,持续5秒；若目标为敌方目标则维持其倒地状态，自身和目标一起向前冲刺并对其造成100%武器伤害附加最高<SUB 36258 4>外功伤害，自身速度越快，冲刺距离越远伤害越高。",24901,5
天策,傲血战意,12,虎贲,每累计施展龙牙3次，使下一次龙牙施展时不消耗战意。,6517,1
天策,傲血战意,12,啸西风,施展后对50尺内距离自身最近且身上存在“流血”效果的最多3名侠士目标周围召唤战狼对其进行攻击，持续9秒，战狼伤害频率受召唤时的“流血”效果层数影响，层数越高频率越快。,38671,2
天策,傲血战意,12,车悬阵,该招式“骑御”状态会替换“龙牙”招式，不受“龙牙”秘籍影响，消耗3点战意。施展后自身向右侧划出枪刃，移动状态下对右侧6尺范围内最多5个敌方目标持续造成100%武器伤害外加<SUB 30800 0>外功伤害，持续4秒，期间可以施展冲刺招式。行进距离越远自身伤害越高，再次释放或者结束时会对前方8尺范围造成100%武器伤害外加<SUB 30808 0>外功伤害。,30654,3
天策,傲血战意,12,破重围,纵马疾驰，自身免疫控制，受到的伤害降低30%，自身招式施展距离提高2尺，控制目标并连续造成13次共计<SUB 15163 0>外功伤害效果并使目标无法施展轻功，命中击倒中的目标伤害提高50%，骑马时方可施展此招式。,15158,4
天策,傲血战意,12,力破万钧,只能在马下施展，蓄力刺出长枪，蓄力期间自身免疫控制，移动速度降低50%，最多蓄力1.5秒，对面前12尺最多4个目标击退并最多造成<SUB 24843 3>点外功伤害。若将目标击退至障碍上，使得目标击倒，最多3秒。蓄力时间越长，伤害越高，击倒时间越长。对气血值低于50%的目标伤害提高70%。,24841,5
天策,铁牢律,1,封侯,“穿云”威胁值提高20%。,5699,1
天策,铁牢律,1,勤王,外功防御和内功防御等级提高20%。,5679,2
天策,铁牢律,1,定军,"对敌人造成<SKILL PhysicsDamage>点(+<SKILLEx {D0+D1} {SkillPhysicsAP},{BasicPhysicsAP -0.1}>)外功伤害，并强迫其对你发起攻击。<TALENT 2623 1 成功招架后有15%几率重置调息时间><TALENT 5666 1 每点“战意""增加5%伤害><TALENT 2623 2 成功招架后有30%几率重置调息时间><TALENT 5698 1 成功招架后有50%几率重置调息时间><TALENT 2626 1 调息时间降低1秒，招式有效距离提高2尺，伤害提高50%><TALENT 2626 2 调息时间降低2秒，招式有效距离提高4尺，伤害提高100%>",402,3
天策,铁牢律,2,龙痕,“龙牙”命中目标后，使目标造成的伤害降低10%，持续6秒。,5688,1
天策,铁牢律,2,坚韧,被伤害招式命中使自身受到的伤害降低1%，可叠加5层，持续12秒。,5680,2
天策,铁牢律,2,穿,“龙吟”对目标周围8尺内最多5个目标造成外功伤害且移动速度降低60%，持续12秒。,18224,3
天策,铁牢律,3,骁勇,“流血”效果伤害提高12%。,18602,1
天策,铁牢律,3,龙啸,“龙牙”命中目标后，对目标周围6尺的5个目标造成外功伤害。该伤害不受到“龙牙”秘籍的影响。,5658,2
天策,铁牢律,3,大漠,施展“灭”后，使下一个“龙吟”额外造成<SUB 37618 1>外功伤害。,5659,3
天策,铁牢律,3,徐如林,施展“突”“断魂刺”之后，自身将获得“徐如林”效果，使自身外功伤害招式命中敌人后，有50%的几率额外造成一段<SUB 38655 0>伤害并使自身气血与内力在1秒后恢复5%（每秒最多1次），持续5秒。,18228,4
天策,铁牢律,4,击水,“流血”效果可叠3层，持续效果增加3跳。对有自身三层流血的非侠士目标再次添加流血效果，会额外造成<SUB 36568 1>外功伤害。,18226,1
天策,铁牢律,4,仗剑,“灭”不再对自身造成伤害，并回复自身18%气血值。,5682,2
天策,铁牢律,4,望西京,基础气血和内力上限提高10%。,5695,3
天策,铁牢律,4,崩,对运功状态的目标造成<SUB 483 0>外功伤害，并使其晕眩且加速率降低30%，持续5秒。,482,4
天策,铁牢律,5,出云,“战八方”会心几率提高10%，会心效果提高10%，可以在马下施展。,5669,1
天策,铁牢律,5,劲风,“龙吟”附带的“破风”效果提高33%。,18872,2
天策,铁牢律,5,留侯,“龙吟”威胁值提高20%，调息时间降低2秒。,5681,3
天策,铁牢律,5,千驰,“沧月”若在马上释放则每0.5秒造成一次击退效果，且对刀气障碍具有额外的伤害，持续3秒。释放期间具有“纵轻骑”效果。,18233,4
天策,铁牢律,6,狮心,施展“沧月”将消耗自身战意，每消耗一点战意降低自身“疾”2秒调息时间。,5696,1
天策,铁牢律,6,旗渊,气血值低于50%时，被攻击使自身御劲率提高8%，持续8秒。,5701,2
天策,铁牢律,6,将威,“啸如虎”期间被疗伤成效额外提高30%，持续期间每2秒进行一次“虎震”使周围6尺内5个目标眩晕1.5秒。,5697,3
天策,铁牢律,6,掠如火,施展“疾如风”后自身威胁值提高75%，团队成员获得无威胁气劲，持续8秒。,18238,4
天策,铁牢律,7,雷心,受到攻击若气血值低于40%，每秒回复3%气血最大值，自身气血值高于40%后该效果消失。,5686,1
天策,铁牢律,7,踏北邙,受到攻击后若气血值低于40%，则自身被疗伤成效提高20%，受到所有伤害降低20%，当气血值高于40%时该效果消失。,5702,2
天策,铁牢律,7,金甲,施展“突”后，自身受到的伤害降低30%，持续8秒。,5675,3
天策,铁牢律,7,岳峙,施展“守如山”后，立刻强制周围8尺内的5个敌人攻击自身，每3秒再次强制攻击自身。,6518,4
天策,铁牢律,8,流电,“乘龙箭”命中有自身“破军”效果的目标，在目标位置生成一个半径6尺持续4秒的“飞鸣镝”区域，区域内最多5个敌对目标每秒会受到<SUB 32979 1>外功伤害。在区域内施展“撼如雷”则会引爆该区域对其中5个敌对目标造成<SUB 32980 1>外功伤害并使目标获得1层“重创”效果。,18557,1
天策,铁牢律,8,守孤城,施展“御”后每秒回复2%的气血与内力，持续5秒。,6528,2
天策,铁牢律,8,傲骨,施展“突”冲刺到目标身旁时，强迫周围6尺范围的5个敌对目标攻击自身。,5700,3
