ForceID	KungFuID	PointID	CostTrain	CostNothing	PointRequireLevel	SkillID1	SkillLevel1	RequireLevel1	RequireQuestID1	SkillID2	SkillLevel2	RequireLevel2	RequireQuestID2	SkillID3	SkillLevel3	RequireLevel3	RequireQuestID3	SkillID4	SkillLevel4	RequireLevel4	RequireQuestID4	SkillID5	SkillLevel5	RequireLevel5	RequireQuestID5
1	1001	1021	0	1	1	101786	1	1	0	101787	1	1	0												
1	1001	1022	0	1	1	101788	1	1	0	101789	1	1	0												
1	1001	1023	0	1	1	101790	1	1	0	101791	1	1	0												
1	1001	1024	0	1	1	101775	1	1	0	101776	1	1	0												
1	1002	1037	0	1	1	101780	1	1	0	101781	1	1	0												
1	1002	1038	0	1	1	101782	1	1	0	101783	1	1	0												
1	1002	1039	0	1	1	101784	1	1	0	101785	1	1	0												
1	1002	1040	0	1	1	101762	1	1	0	101763	1	1	0												
2	1003	1009	0	1	1	100487	1	1	0	100488	1	1	0												
2	1003	1010	0	1	1	100489	1	1	0	100490	1	1	0												
2	1003	1011	0	1	1	100491	1	1	0	100492	1	1	0												
2	1003	1012	0	1	1	100050	1	1	0	100051	1	1	0												
2	1004	1029	0	1	1	100577	1	1	0	100578	1	1	0												
2	1004	1030	0	1	1	100579	1	1	0	100580	1	1	0												
2	1004	1031	0	1	1	100581	1	1	0	100582	1	1	0												
2	1004	1032	0	1	1	100121	1	1	0	100122	1	1	0												
3	1005	1013	0	1	1	100522	1	1	0	100523	1	1	0												
3	1005	1014	0	1	1	100524	1	1	0	100525	1	1	0												
3	1005	1015	0	1	1	100526	1	1	0	100527	1	1	0												
3	1005	1016	0	1	1	100035	1	1	0	100036	1	1	0												
3	1006	1025	0	1	1	100569	1	1	0	100570	1	1	0												
3	1006	1026	0	1	1	100571	1	1	0	100572	1	1	0												
3	1006	1027	0	1	1	100573	1	1	0	100574	1	1	0												
3	1006	1028	0	1	1	100430	1	1	0	100431	1	1	0												
4	1007	1001	0	1	1	100447	1	1	0	100448	1	1	0												
4	1007	1002	0	1	1	100449	1	1	0	100450	1	1	0												
4	1007	1003	0	1	1	100451	1	1	0	100452	1	1	0												
4	1007	1004	0	1	1	100015	1	1	0	101602	1	1	0												
4	1008	1005	0	1	1	100556	1	1	0	100557	1	1	0												
4	1008	1006	0	1	1	100558	1	1	0	100559	1	1	0												
4	1008	1007	0	1	1	100560	1	1	0	100561	1	1	0												
4	1008	1008	0	1	1	100080	1	1	0	100082	1	1	0												
5	1009	1017	0	1	1	100510	1	1	0	100511	1	1	0												
5	1009	1018	0	1	1	100516	1	1	0	100518	1	1	0												
